Year,Headline ,Link,Asset,Estimated_Cash_lost,investigation_status 
2015,Bungoma wheelbarrow procurement team put on defence,Read more at: https://www.standardmedia.co.ke/article/2001267136/bungoma-wheelbarrow-procurement-team-put-on-defence,Sh1 million,Sh1 million,Ongoing
2015,"Scandal: How NSSF gifted EACC officials with houses, tenders to stop corruption investigations",https://www.kenya-today.com/news/scandal-how-nssf-gifted-eacc-officials-with-houses-tenders-to-stop-corruption-investigations,sh 2.6 billion,,Concluded 
2016,Kenyans outraged over Uhuru kin links to Sh5 billion 'Mafia House' scandal,https://www.the-star.co.ke/news/2016/10/29/kenyans-outraged-over-uhuru-kin-links-to-sh5-billion-mafia-house_c1446156,Sh3 billion-Sh5 billion,Sh3 billion-Sh5 billion,Concluded
2016,"Nairobi unable to account for more than Sh20 billion, audit report says",https://www.nation.co.ke/counties/nairobi/nairobi-unable-to-account-for-more-than-twenty-billion/1954174-3474882-e5kdk2/index.html,Sh20 billion,Sh20 billion,Concluded
2016,Sh1.18bn graft scandal rocks Kilifi County,https://www.nation.co.ke/counties/kilifi/Sh1-18bn-graft-scandal-rocks-Kilifi/1183282-3453554-14utj1l/index.html,Sh2 billion,Sh2 billion,Concluded
2016,"‘Suspicious’ bank accounts yet to be closed, says official",https://www.nation.co.ke/counties/mombasa/Lender-yet-to-close--fishy--bank-accounts/1954178-3463642-4lo1d9z/index.html,Sh366 million,Sh193 million,Concluded
2016,Queries after City Hall fails to account for Sh238m parking fees,https://www.the-star.co.ke/news/2018/04/05/queries-after-city-hall-fails-to-account-for-sh238m-parking-fees_c1741021,,Sh238 million,Concluded
2016,Betrayal in Rio: How mismanagement has left our heroes fuming,https://www.nation.co.ke/news/The-scandal-of-Kenya-s-Rio-Olympics/1056-3343980-kvao27z/index.html,Sh583 million,Sh88 million,Ongoing
2016,Ouko raises red flag on defective military aircraft,https://www.nation.co.ke/news/Ouko-raises-red-flag-on-defective-military-aircraft/1056-4328550-xt1j7l/index.html,Sh1.5 billion,Sh1.5 billion,Ongoing
2016,NSSF ‘lost Sh1.6bn in shares scandal’,https://www.nation.co.ke/news/1056-3430042-5hdmunz/index.html,Sh1.6billion,Sh1.6billion,Ongoing
2016,Youth Fund boss at centre of Sh180m scandal resigns,https://www.nation.co.ke/news/Embattled-Youth-Fund-chair-Bruce-Odhiambo-resigns/1056-3132994-920ovmz/index.html,Sh180 million,Sh180 million,
2017,House team hit by claims of Sh60m bribery scandal,https://www.the-star.co.ke/news/2017/03/27/house-team-hit-by-claims-of-sh60m-bribery-scandal_c1531901,Sh60 million,,Ongoing
2017,Congress could block aircraft sale to Kenya,https://www.nation.co.ke/news/Congress--block-aircraft-sale-Kenya/1056-3824170-format-xhtml-5qucvn/index.html,Sh41 billion,Sh20 billion,Concluded (Approved)
2018,Edward Ouko uncovers Sh11 billion hole at Health ministry,https://www.nation.co.ke/news/Edward-Ouko-uncovers-Sh11bn-hole-at-Health-ministry/1056-4333220-xxev36z/index.html,,Sh11 billion,Concluded
2018,Sh9 billion NYS scandal claims first casualties,Read more at: https://www.standardmedia.co.ke/article/2001280940/sh9-billion-nys-scandal-claims-first-casualties,Sh9 billion-Sh10 billion,Sh9 billion-Sh10 billion,Ongoing
2018,"NCPB CEO resigns, 5 top managers sent home over Ksh. 1.9B maize scandal",https://citizentv.co.ke/news/ncpb-ceo-resigns-5-top-managers-sent-home-over-ksh-1-9b-maize-scandal-201194/,Ksh.1.9 billion,Ksh.1.9 billion,Ongoing
2018,Ruaraka land owner offers to refund Sh1.5b for property,https://www.standardmedia.co.ke/business/article/2001278776/land-owner-i-am-ready-to-refund-sh1-5-billion,Ksh 3.2 Billion ,Ksh 1.7 billion ,
2018,NSSF members could lose Sh11.5bn in Hazina Tower project,https://www.nation.co.ke/news/NSSF-members-risk-losing-Sh11-5bn-in-stalled-project/1056-4353418-u74mlm/index.html,Sh11.5 billion,Sh11.5 billion,Ongoing
2018,Auditor-General Ouko names State firms looting billions,https://www.nation.co.ke/news/Auditor-General-names-State-firms-looting-billions/1056-4374134-tomjl6z/index.html,Sh40 billion,,Concluded
2018,How timber mafia walked away with Uhuru's Sh2 billion,https://mobile.nation.co.ke/news/How-timber-mafia-walked-away-with-Uhuru-s-Sh2-billion/1950946-4583076-qyhwb0z/index.html,Sh2 billion,Sh2 billion,Ongoing
2018,Kenya Power fires 23 staff over suspicion of corruption,https://www.standardmedia.co.ke/article/2001281851/kenya-power-fires-23-staff-over-suspicion-of-corruption,,,Ongoing
2018,More details on Kenya Pipeline Ksh. 647M scandal,https://citizentv.co.ke/news/more-details-on-kenya-pipeline-ksh-647m-scandal-201856/,Sh 647 million,Sh 647 million,Ongoing
